Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,122992844,1575.5566149124334,3345604,42.857684574539114,455964,2711071,34.729222519216364,60503,0.7750524239609182,7291,
United States of America,Americas,29497998,8911.71,382336,115.51,60228,536781,162.17,7252,2.19,773,Community transmission
Brazil,Americas,11950459,5622.17,510901,240.36,79069,292752,137.73,15650,7.36,2438,Community transmission
India,South-East Asia,11646081,843.92,260742,18.89,46951,159967,11.59,1242,0.09,212,Clusters of cases
Russian Federation,Europe,4466153,3060.38,66108,45.3,9284,95391,65.37,2897,1.99,361,Clusters of cases
The United Kingdom,Europe,4296587,6329.12,38145,56.19,5312,126155,185.83,639,0.94,33,Community transmission
France,Europe,4211410,6451.94,209281,320.62,30581,91751,140.56,1819,2.79,138,Community transmission
Italy,Europe,3376376,5584.31,153234,253.44,20045,104942,173.57,2797,4.63,300,Clusters of cases
Spain,Europe,3206116,6857.3,9723,20.8,0,72793,155.69,134,0.29,0,Community transmission
Turkey,Europe,3013122,3572.63,133732,158.56,20428,30061,35.64,572,0.68,102,Community transmission
Germany,Europe,2667225,3183.46,91376,109.06,7709,74714,89.17,1296,1.55,50,Community transmission
Colombia,Americas,2331187,4581.48,32105,63.1,6761,61907,121.67,861,1.69,136,Community transmission
Argentina,Americas,2241739,4960.06,46017,101.82,6826,54517,120.62,847,1.87,41,Community transmission
Mexico,Americas,2193639,1701.38,29764,23.08,5729,197827,153.43,3337,2.59,608,Community transmission
Poland,Europe,2073129,5477.71,155602,411.14,14579,49365,130.43,2159,5.7,65,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1801065,2144.3,54112,64.42,7260,61797,73.57,567,0.68,73,Community transmission
Ukraine,Europe,1554256,3553.9,86708,198.26,7893,30098,68.82,1665,3.81,157,Community transmission
South Africa,Africa,1537852,2592.96,8432,14.22,1051,52111,87.86,785,1.32,29,Community transmission
Czechia,Europe,1469547,13722.57,67127,626.83,0,24667,230.34,1288,12.03,0,Community transmission
Peru,Americas,1460779,4430.38,52816,160.19,9134,50085,151.9,1244,3.77,188,Community transmission
Indonesia,South-East Asia,1460184,533.84,40729,14.89,4396,39550,14.46,1124,0.41,103,Community transmission
Netherlands,Europe,1201545,7012.28,44602,260.3,7025,16275,94.98,208,1.21,15,Community transmission
Chile,Americas,931939,4875.13,40829,213.58,6850,22279,116.55,605,3.16,99,Community transmission
